Port Number,Protocol,Service/Application,Security Risk Level
20-21,FTP,File Transfer Protocol,High
22,SSH,Secure Shell,Medium
23,Telnet,Telnet (Unencrypted),Critical
25,SMTP,Simple Mail Transfer Protocol,Medium
53,DNS,Domain Name System,Medium
80,HTTP,Web Traffic (Unencrypted),High
110,POP3,Post Office Protocol,Medium
143,IMAP,Internet Message Access Protocol,Medium
443,HTTPS,Secure Web Traffic,Low
445,SMB,Server Message Block,High
3306,MySQL,MySQL Database,High
3389,RDP,Remote Desktop Protocol,Critical
5432,PostgreSQL,PostgreSQL Database,High
5900,VNC,Virtual Network Computing,High
8080,HTTP-Alt,Alternative HTTP Port,Medium
8443,HTTPS-Alt,Alternative HTTPS Port,Low
